순위,분,신,종목코드,종목명,현재가,전일대비,,등락률,매도잔량,매수잔량,거래량,체결강도,횟수,L일봉H
18,증,,'182400,엔케이맥스,"23,400",▲,"2,700",13.04,"67,374","18,227","6,279,531",111.11,1,20500 24000 20400 23400
19,신,,'126600,코프라,"9,000",▲,950,11.8,"70,667","25,002","20,261,686",93.7,2,8010 9650 7970 9000
20,,,'339950,아이비김영,"4,875",▲,505,11.56,"48,219","42,595","9,700,804",124.42,1,4470 4990 4400 4875
21,,,'085810,알티캐스트,"3,820",▲,390,11.37,"166,058","82,270","37,993,090",86.87,5,3405 4145 3285 3820
22,신,,'127710,아시아경제,"4,850",▲,465,10.6,"50,614","17,287","18,026,847",131.32,3,4515 5220 4515 4850
23,신,,'016090,대현,"2,900",▲,255,9.64,"42,769","81,551","3,705,992",122.14,2,2625 2900 2620 2900
24,신,,'038620,위즈코프,"2,775",▲,240,9.47,"89,419","87,392","17,374,060",103.17,1,2565 2925 2550 2775
25,신,,'298050,효성첨단소재,"661,000",▲,"54,000",8.9,"7,193","3,391","349,357",148.47,4,618000 678000 606000 661000
26,신,,'285130,SK케미칼,"290,500",▲,"23,500",8.8,"20,210","10,435","602,258",162.45,1,265500 293500 264000 290500
27,증,,'101140,인바이오젠,"4,875",▲,380,8.45,"116,482","42,235","18,162,777",98.19,3,4480 5140 4410 4875
28,신,,'088390,이녹스,"31,000",▲,"2,350",8.2,"4,563","5,779","701,612",104.18,2,29050 32100 28500 31000
29,신,,'004000,롯데정밀화학,"79,300",▲,"6,000",8.19,"42,233","9,630","1,006,798",197.28,4,73800 80300 73700 79300
30,,,'309930,오하임아이엔티,"7,410",▲,550,8.02,"62,690","39,563","10,672,596",95.7,3,6770 7760 6720 7410
31,신,,'001230,동국제강,"22,250",▲,"1,650",8.01,"317,600","98,072","5,829,419",189.28,2,20800 22550 20750 22250
32,신,,'226440,한송네오텍,"1,845",▲,130,7.58,"157,669","224,708","16,876,567",87.78,1,1710 1920 1670 1845
33,신,,'005950,이수화학,"14,500",▲,"1,000",7.41,"260,243","143,041","3,493,855",157.41,3,13800 14650 13650 14500
34,신,,'032560,황금에스티,"10,900",▲,750,7.39,"164,466","57,279","1,117,783",133.08,3,10200 11000 10100 10900
35,신,,'357550,석경에이티,"21,450",▲,"1,450",7.25,"7,508","2,155","87,333",201.56,1,20100 21450 20050 21450
36,신,,'129260,인터지스,"4,090",▲,270,7.07,"26,765","22,763","1,521,593",111.73,1,3845 4160 3845 4090
37,신,,'333620,엔시스,"21,200",▲,"1,400",7.07,"32,949","17,059","757,051",123.71,3,20350 21650 20150 21200
38,신,,'010690,화신,"8,990",▲,570,6.77,"8,671","29,804","2,328,723",111.88,1,8420 9400 8320 8990
39,경,,'032280,삼일,"8,700",▲,550,6.75,"68,051","10,577","4,861,522",93.97,2,7940 8970 7710 8700
40,,,'120115,코오롱인더우,"39,600",▲,"2,500",6.74,"6,418","2,025","128,476",225.34,4,37450 39600 36750 39600
41,신,,'009300,삼아제약,"20,700",▲,"1,300",6.7,"15,754","1,956","170,509",136.42,9,19550 21500 19400 20700
42,신,,'004250,NPC,"7,370",▲,460,6.66,"47,727","36,952","25,790,242",92.45,5,6900 7950 6840 7370
43,신,,'019680,대교,"4,970",▲,305,6.54,"29,424","8,541","3,597,772",90.4,4,4730 5170 4715 4970
44,,,'014200,광림,"3,450",▲,210,6.48,"70,148","23,973","1,879,081",143.47,2,3220 3490 3220 3450
45,,,'066590,우수AMS,"6,090",▲,370,6.47,"187,951","57,485","2,116,174",129.13,1,5720 6100 5720 6090
46,신,,'032080,아즈텍WB,"7,050",▲,410,6.17,"60,156","175,157","45,711,448",85.38,4,6880 7560 6680 7050
47,증,,'036620,감성코퍼레이션,"1,640",▲,95,6.15,"131,305","49,938","854,149",328.7,2,1520 1650 1515 1640
48,신,,'143210,핸즈코퍼레이션,"5,990",▲,340,6.02,"6,637","3,534","649,389",84.46,1,5670 6410 5620 5990
49,신,,'089470,HDC현대EP,"6,200",▲,350,5.98,"66,802","44,556","1,485,887",134.63,3,5850 6270 5800 6200
